# {'integration_time_us': 10000, 'end_index': 998, 'start_index': 50}
4.463495544984069170e+02,2.396550000000000182e+03,1.402676013910554076e+00
4.471340667608476451e+02,2.396329999999999927e+03,1.311907008899639848e+00
4.479185063580111432e+02,2.396300000000000182e+03,1.473091986265623765e+00
4.487028732853843849e+02,2.396230000000000018e+03,1.455025772967613262e+00
4.494871675384542300e+02,2.396380000000000109e+03,1.354843164355195473e+00
4.502713891127077090e+02,2.396400000000000091e+03,1.264911064067351987e+00
4.510555380036316819e+02,2.396510000000000218e+03,1.571591549990009273e+00
4.518396142067130654e+02,2.396300000000000182e+03,1.431782106327635473e+00
4.526236177174388899e+02,2.396639999999999873e+03,1.466424222385869003e+00
4.534075485312960723e+02,2.396469999999999800e+03,1.590314434317943171e+00
4.541914066437714155e+02,2.396539999999999964e+03,1.431223253025187381e+00
4.549751920503519500e+02,2.396210000000000036e+03,1.589308025525574264e+00
4.557589047465245358e+02,2.396340000000000146e+03,1.250759769100365570e+00
4.565425447277761464e+02,2.396469999999999800e+03,1.571337010319555638e+00
4.573261119895937554e+02,2.396389999999999873e+03,1.370364914904055986e+00
4.581096065274642797e+02,2.396309999999999945e+03,1.604337869652150417e+00
4.588930283368745791e+02,2.396590000000000146e+03,1.349777759484871442e+00
4.596763774133116840e+02,2.396480000000000018e+03,1.389100428334827164e+00
4.604596537522625113e+02,2.396250000000000000e+03,1.388344337691482133e+00
4.612428573492140913e+02,2.396119999999999891e+03,1.298306589369398356e+00
4.620259881996530567e+02,2.396349999999999909e+03,1.538668255342911850e+00
4.628090462990665515e+02,2.396269999999999982e+03,1.488992948270743355e+00
4.635920316429414356e+02,2.396400000000000091e+03,1.630950643030009140e+00
4.643749442267647396e+02,2.396349999999999909e+03,1.532155344604456459e+00
4.651577840460232665e+02,2.396610000000000127e+03,1.448412924548797331e+00
4.659405510962040466e+02,2.396440000000000055e+03,1.251559027772961352e+00
4.667232453727939401e+02,2.396530000000000200e+03,1.367150320923050444e+00
4.675058668712799772e+02,2.396519999999999982e+03,1.299846144741753751e+00
4.682884155871489611e+02,2.396650000000000091e+03,1.499166435056495050e+00
4.690708915158879790e+02,2.396440000000000055e+03,1.283121194587635516e+00
4.698532946529838910e+02,2.396489999999999782e+03,1.403531260784739221e+00
4.706356249939236136e+02,2.396489999999999782e+03,1.633982864047233585e+00
4.714178825341940069e+02,2.396570000000000164e+03,1.491676908717165739e+00
4.722000672692821013e+02,2.396409999999999854e+03,1.435931753252918330e+00
4.729821791946747567e+02,2.396679999999999836e+03,1.348183963708217359e+00
4.737642183058590035e+02,2.396329999999999927e+03,1.516937704719610425e+00
4.745461845983217017e+02,2.396500000000000000e+03,1.352774925846868426e+00
4.753280780675498249e+02,2.396489999999999782e+03,1.506618730800862060e+00
4.761098987090302899e+02,2.396840000000000146e+03,1.540908822740657769e+00
4.768916465182499564e+02,2.396699999999999818e+03,1.621727474022685689e+00
4.776733214906958551e+02,2.396530000000000200e+03,1.459143584435746988e+00
4.784549236218550732e+02,2.396579999999999927e+03,1.443468046061290533e+00
4.792364529072141863e+02,2.396530000000000200e+03,1.506353212231447358e+00
4.800179093422602250e+02,2.396369999999999891e+03,1.425868156597937197e+00
4.807992929224802765e+02,2.396489999999999782e+03,1.381991316904704670e+00
4.815806036433611439e+02,2.396409999999999854e+03,1.503961435675795544e+00
4.823618415003898576e+02,2.396539999999999964e+03,1.681784766252804264e+00
4.831430064890532776e+02,2.396559999999999945e+03,1.306292463424634676e+00
4.839240986048383206e+02,2.396719999999999800e+03,1.517102501481030430e+00
4.847051178432319603e+02,2.396619999999999891e+03,1.454510226846136511e+00
4.854860641997211133e+02,2.396389999999999873e+03,1.392084767533931844e+00
4.862669376697929238e+02,2.396530000000000200e+03,1.486304141150121438e+00
4.870477382489339107e+02,2.396380000000000109e+03,1.468196172178636072e+00
4.878284659326312180e+02,2.396480000000000018e+03,1.539350512391508552e+00
4.886091207163717627e+02,2.396539999999999964e+03,1.472548810735997193e+00
4.893897025956425182e+02,2.396309999999999945e+03,1.324348896628075201e+00
4.901702115659304582e+02,2.396269999999999982e+03,1.406093880222796688e+00
4.909506476227223288e+02,2.396480000000000018e+03,1.558717421471897291e+00
4.917310107615052175e+02,2.396469999999999800e+03,1.459143584435746988e+00
4.925113009777659840e+02,2.396440000000000055e+03,1.458218090684654911e+00
4.932915182669916021e+02,2.396769999999999982e+03,1.561121391820636140e+00
4.940716626246689884e+02,2.396480000000000018e+03,1.374627222195166754e+00
4.948517340462852303e+02,2.396619999999999891e+03,1.405560386465127820e+00
4.956317325273270171e+02,2.396409999999999854e+03,1.414885154349991625e+00
4.964116580632813225e+02,2.396510000000000218e+03,1.276675369857192655e+00
4.971915106496351200e+02,2.396329999999999927e+03,1.386037517529738361e+00
4.979712902818753264e+02,2.396519999999999982e+03,1.486472334084963931e+00
4.987509969554889722e+02,2.396480000000000018e+03,1.506519166821318700e+00
4.995306306659628603e+02,2.396420000000000073e+03,1.320454467219525085e+00
5.003101914087840214e+02,2.396610000000000127e+03,1.462155942435690026e+00
5.010896791794392584e+02,2.396380000000000109e+03,1.405560386465127820e+00
5.018690939734156586e+02,2.396570000000000164e+03,1.524827859136892894e+00
5.026484357862001957e+02,2.396460000000000036e+03,1.551902058765307402e+00
5.034277046132795590e+02,2.396579999999999927e+03,1.464103821455295495e+00
5.042069004501407790e+02,2.396550000000000182e+03,1.614775526195514344e+00
5.049860232922708860e+02,2.396570000000000164e+03,1.650787690770681770e+00
5.057650731351566833e+02,2.396559999999999945e+03,1.430524379379813471e+00
5.065440499742852012e+02,2.396280000000000200e+03,1.378985134075055852e+00
5.073229538051433565e+02,2.396460000000000036e+03,1.532449020359241798e+00
5.081017846232180091e+02,2.396269999999999982e+03,1.384593803250614208e+00
5.088805424239961326e+02,2.396860000000000127e+03,1.400142849854971061e+00
5.096592272029647575e+02,2.396300000000000182e+03,1.330413469565007167e+00
5.104378389556105731e+02,2.396559999999999945e+03,1.336562755728289975e+00
5.112163776774208941e+02,2.396219999999999800e+03,1.375354499756335391e+00
5.119948433638822394e+02,2.396659999999999854e+03,1.415768342632367061e+00
5.127732360104818099e+02,2.396329999999999927e+03,1.476854766048442569e+00
5.135515556127063519e+02,2.396329999999999927e+03,1.655626769534727982e+00
5.143298021660430095e+02,2.396500000000000000e+03,1.417744687875782450e+00
5.151079756659786426e+02,2.396750000000000000e+03,1.525614630239235714e+00
5.158860761079999975e+02,2.396679999999999836e+03,1.441388219738179766e+00
5.166641034875942751e+02,2.396650000000000091e+03,1.492481155659930003e+00
5.174420578002482216e+02,2.396590000000000146e+03,1.386326079968201341e+00
5.182199390414486970e+02,2.396449999999999818e+03,1.351850583459577759e+00
5.189977472066831297e+02,2.396739999999999782e+03,1.432619977523697630e+00
5.197754822914378110e+02,2.396519999999999982e+03,1.763405795612569715e+00
5.205531442912000557e+02,2.396530000000000200e+03,1.396101715492105377e+00
5.213307332014566100e+02,2.396449999999999818e+03,1.538668255342912072e+00
5.221082490176944475e+02,2.396400000000000091e+03,1.421267040355189692e+00
5.228856917354006555e+02,2.396610000000000127e+03,1.509271347372632022e+00
5.236630613500619802e+02,2.396230000000000018e+03,1.528757665557232803e+00
5.244403578571653952e+02,2.396380000000000109e+03,1.474991525399383274e+00
5.252175812521979879e+02,2.396489999999999782e+03,1.513241553751415891e+00
5.259947315306465043e+02,2.396579999999999927e+03,1.497865147468222524e+00
5.267718086879979182e+02,2.396570000000000164e+03,1.739281460833754789e+00
5.275488127197393169e+02,2.396570000000000164e+03,1.464615990626894515e+00
5.283257436213573328e+02,2.396730000000000018e+03,1.475499915282952657e+00
5.291026013883391670e+02,2.396650000000000091e+03,1.472243186433545903e+00
5.298793860161715656e+02,2.396579999999999927e+03,1.524335920983298287e+00
5.306560975003416161e+02,2.396500000000000000e+03,1.506651917331936374e+00
5.314327358363360645e+02,2.396639999999999873e+03,1.338058294694218553e+00
5.322093010196419982e+02,2.396630000000000109e+03,1.277928010491983679e+00
